  5wg7|A|2018-02-07|K|+3.1;
  6b4d|A|2018-02-07|K|+3.1;
  5wgp|A|2018-02-07|K|+3.1;
  5msa|A|2018-01-17|K|+3.1;
  5olb|A|2018-01-03|S|+3.1;
  5ohi|A|2018-01-03|S|+3.1;
  5n1r|A|2017-12-27|K|+3.1;
  5n25|A|2017-12-27|K|+3.1;
  5n24|A|2017-12-27|K|+3.1;
  5n1s|A|2017-12-27|K|+3.1;
  5wyr|A|2017-12-20|K|+3.1;
  5wyq|A|2017-12-20|K|+3.1;
  6equ|A|2017-12-14|K|+3.1;
  6b00|A|2017-12-13|K|+3.1;
  5nea|A|2017-12-06|K|+3.1;
  5w23|A|2017-12-06|S|+3.1;
  5umc|A|2017-12-06|K|+3.1;
  5nee|A|2017-12-06|K|+3.1;
  5mjn|A|2017-12-06|K|+3.1;
  5o95|A|2017-11-08|K|+3.1;
  5ylf|A|2017-11-08|S|+3.1;
  5o96|A|2017-11-08|K|+3.1;
  5yle|A|2017-11-08|S|+3.1;
  5ylc|A|2017-11-08|S|+3.1;
  5too|A|2017-11-01|S|+3.1;
  5tpq|A|2017-11-01|S|+3.1;
  6awq|A|2017-10-25|S|+3.1, 4.1, +3.1;
  6awp|A|2017-10-25|S|+3.1, 4.1, +3.1;
  6awo|A|2017-10-25|S|+3.1, 4.1, +3.1;
  6awn|A|2017-10-25|S|+3.1, 4.1, +3.1;
  5oql|e|2017-10-11|K|+3.1;
  5wex|A|2017-10-11|K|+3.1;
  5uln|A|2017-10-11|K|+3.1;
  5ty1|A|2017-10-04|K|+3.1;
  5njb|B|2017-10-04|S|+3.1;
  5nja|B|2017-10-04|S|+3.1;
  5nj9|A|2017-10-04|S|+3.1;
  5nja|A|2017-10-04|S|+3.1;
  5nj5|A|2017-10-04|S|+3.1;
  5njb|A|2017-10-04|S|+3.1;
  5nj5|B|2017-10-04|S|+3.1;
  5nj9|B|2017-10-04|S|+3.1;
  5veo|A|2017-09-20|S|+3.1;
  5t71|A|2017-09-14|K|+3.1;
  5tt3|A|2017-09-13|K|+3.1;
  5tuo|A|2017-09-13|K|+3.1;
  5oom|s|2017-09-13|K|-3.1;
  5o07|A|2017-08-30|K|+3.1;
  5u0f|A|2017-08-30|K|+3.1;
  5txy|A|2017-08-30|K|+3.1;
  5mx9|A|2017-08-29|S|+3.1;
  5m0s|A|2017-08-29|S|+3.1;
  5l9e|A|2017-06-22|K|+3.1;
  5ljq|A|2017-06-22|K|+3.1;
  5gra|A|2017-06-21|K|+3.1;
  5vik|A|2017-06-08|K|4.1;
  5g2u|A|2017-05-24|S|+3.1;
  5gmm|A|2017-05-24|K|+3.1;
  5n0e|A|2017-05-15|K|+3.1;
  5twj|A|2017-05-06|K|+3.1;
  5ti0|A|2017-05-03|K|+3.1;
  5jmz|A|2017-05-03|K|+3.1;
  5twk|A|2017-05-03|K|+3.1;
  5th4|A|2017-05-02|K|+3.1;
  5ipz|A|2017-03-29|K|+3.1;
  5udy|A|2017-03-27|S|+3.1;
  5tcd|A|2017-03-26|S|+3.1;
  5lqw|Y|2017-02-13|K|-3.1;
  5m8a|A|2017-01-27|S|4.1, +3.1, +3.1;
  5m8j|A|2017-01-27|S|4.1, +3.1, +3.1;
  5m8k|A|2017-01-27|S|4.1, +3.1, +3.1;
  5m87|A|2017-01-26|S|4.1, +3.1, +3.1;
  5h9u|A|2017-01-24|K|+3.1, +3.1;
  5h5f|A|2017-01-23|K|+3.1;
  5h5e|A|2017-01-23|K|+3.1;
  5fql|A|2017-01-19|S|+3.1;
  5jep|B|2017-01-18|K|+3.1;
  5jes|B|2017-01-18|K|+3.1;
  5jgt|B|2017-01-18|K|+3.1;
  5jg3|B|2017-01-18|K|+3.1;
  5jg5|B|2017-01-18|K|+3.1;
  5jgs|B|2017-01-18|K|+3.1;
  5jdv|B|2017-01-13|K|+3.1;
  5je7|B|2017-01-13|K|+3.1;
  5jeg|B|2017-01-13|K|+3.1;
  5jeh|B|2017-01-13|K|+3.1;
  5gov|A|2017-01-05|S|+3.1;
  5grr|A|2017-01-04|S|+3.1;
  5sz6|A|2017-01-03|K|+3.1;
  5sz5|A|2017-01-03|K|+3.1;
  5lrm|A|2016-12-15|S|+3.1;
  5eoi|A|2016-11-23|K|+3.1;
  5lbr|A|2016-11-13|K|4.1, 4.1;
  5ehe|A|2016-11-09|K|+3.1;
  5eij|A|2016-11-09|K|+3.1;
  5l8m|A|2016-11-08|K|4.1, 4.1;
  5k5b|A|2016-11-06|K|4.1, 4.1;
  5ife|D|2016-10-30|K|-3.1;
  5gm8|A|2016-10-28|K|+3.1;
  5gmc|A|2016-10-28|K|+3.1;
  5gmb|A|2016-10-28|K|+3.1;
  5lmd|A|2016-10-24|K|+3.1;
  5gm6|J|2016-10-22|K|-3.1;
  5jq0|A|2016-10-20|K|+3.1;
  5jqt|A|2016-10-20|K|+3.1;
  5k6c|F|2016-10-15|S|+3.1;
  5e2m|A|2016-10-07|K|+3.1;
  5e2n|A|2016-10-07|K|+3.1;
  5t8s|A|2016-10-03|K|+3.1;
  5t8t|A|2016-10-03|K|+3.1;
  5fnl|A|2016-09-30|K|+3.1;
  5cjl|A|2016-09-28|K|+3.1;
  5khu|T|2016-09-09|S|+3.1;
  5syb|A|2016-09-09|K|-3.1;
  5kel|A|2016-09-07|S|+3.1;
  5kem|A|2016-09-07|S|+3.1;
  5ken|A|2016-09-07|S|+3.1;
  5k4p|A|2016-09-02|S|+3.1;
  5k6b|F|2016-09-02|S|+3.1;
  5j4i|A|2016-09-01|S|+3.1, 4.1;
  5j4n|A|2016-09-01|S|+3.1, 4.1, +3.1;
  5e5u|A|2016-08-31|S|+3.1;
  5e5r|A|2016-08-31|K|+3.1;
  5dvx|A|2016-08-03|K|+3.1;
  5i5l|A|2016-08-03|K|4.1;
  5hsq|A|2016-08-03|K|4.1;
  5jpq|e|2016-07-29|K|+3.1;
  5co4|A|2016-07-20|K|+3.1;
  5c8i|A|2016-07-20|K|+3.1;
  5ew5|A|2016-07-20|S|+3.1;
  5j8z|A|2016-06-30|K|+3.1;
  5jnx|C|2016-06-17|S|+3.1;
  5ijq|A|2016-06-16|S|+3.1;
  5ijs|A|2016-06-16|S|+3.1;
  5jag|A|2016-06-03|S|+3.1, 4.1;
  5jaf|A|2016-06-03|S|+3.1, 4.1;
  5jae|A|2016-06-03|S|+3.1, 4.1, +3.1;
  5c66|A|2016-06-02|S|+3.1;
  5g0c|A|2016-05-26|K|+3.1;
  5g01|A|2016-05-26|K|+3.1;
  5g0b|A|2016-05-26|K|+3.1;
